period1,period2,performance
5,10,0
5,12,0
5,14,0
5,16,0
5,18,0
5,20,0
5,22,0
5,24,0
5,26,0
5,28,0
5,30,0
5,32,0
5,34,0
5,36,0
5,38,0
5,40,0
5,42,0
5,44,0
5,46,0
5,48,0
6,10,0
6,12,0
6,14,0
6,16,0
6,18,0
6,20,0
6,22,0
6,24,0
6,26,0
6,28,0
6,30,0
6,32,0
6,34,0
6,36,0
6,38,0
6,40,0
6,42,0
6,44,0
6,46,0
6,48,0
7,10,0
7,12,0
7,14,0
7,16,0
7,18,0
7,20,0
7,22,0
7,24,0
7,26,0
7,28,0
7,30,0
7,32,0
7,34,0
7,36,0
7,38,0
7,40,0
7,42,0
7,44,0
7,46,0
7,48,0
8,10,0
8,12,0
8,14,0
8,16,0
8,18,0
8,20,0
8,22,0
8,24,0
8,26,0
8,28,0
8,30,0
8,32,0
8,34,0
8,36,0
8,38,0
8,40,0
8,42,0
8,44,0
8,46,0
8,48,0
9,10,0
9,12,0
9,14,0
9,16,0
9,18,0
9,20,0
9,22,0
9,24,0
9,26,0
9,28,0
9,30,0
9,32,0
9,34,0
9,36,0
9,38,0
9,40,0
9,42,0
9,44,0
9,46,0
9,48,0
10,12,0
10,14,0
10,16,0
10,18,0
10,20,0
10,22,0
10,24,0
10,26,0
10,28,0
10,30,0
10,32,0
10,34,0
10,36,0
10,38,0
10,40,0
10,42,0
10,44,0
10,46,0
10,48,0
11,12,0
11,14,0
11,16,0
11,18,0
11,20,0
11,22,0
11,24,0
11,26,0
11,28,0
11,30,0
11,32,0
11,34,0
11,36,0
11,38,0
11,40,0
11,42,0
11,44,0
11,46,0
11,48,0
12,14,0
12,16,0
12,18,0
12,20,0
12,22,0
12,24,0
12,26,0
12,28,0
12,30,0
12,32,0
12,34,0
12,36,0
12,38,0
12,40,0
12,42,0
12,44,0
12,46,0
12,48,0
13,14,0
13,16,0
13,18,0
13,20,0
13,22,0
13,24,0
13,26,0
13,28,0
13,30,0
13,32,0
13,34,0
13,36,0
13,38,0
13,40,0
13,42,0
13,44,0
13,46,0
13,48,0
14,16,0
14,18,0
14,20,0
14,22,0
14,24,0
14,26,0
14,28,0
14,30,0
14,32,0
14,34,0
14,36,0
14,38,0
14,40,0
14,42,0
14,44,0
14,46,0
14,48,0
15,16,0
15,18,0
15,20,0
15,22,0
15,24,0
15,26,0
15,28,0
15,30,0
15,32,0
15,34,0
15,36,0
15,38,0
15,40,0
15,42,0
15,44,0
15,46,0
15,48,0
16,18,0
16,20,0
16,22,0
16,24,0
16,26,0
16,28,0
16,30,0
16,32,0
16,34,0
16,36,0
16,38,0
16,40,0
16,42,0
16,44,0
16,46,0
16,48,0
17,18,0
17,20,0
17,22,0
17,24,0
17,26,0
17,28,0
17,30,0
17,32,0
17,34,0
17,36,0
17,38,0
17,40,0
17,42,0
17,44,0
17,46,0
17,48,0
18,20,0
18,22,0
18,24,0
18,26,0
18,28,0
18,30,0
18,32,0
18,34,0
18,36,0
18,38,0
18,40,0
18,42,0
18,44,0
18,46,0
18,48,0
19,20,0
19,22,0
19,24,0
19,26,0
19,28,0
19,30,0
19,32,0
19,34,0
19,36,0
19,38,0
19,40,0
19,42,0
19,44,0
19,46,0
19,48,0
20,22,0
20,24,0
20,26,0
20,28,0
20,30,0
20,32,0
20,34,0
20,36,0
20,38,0
20,40,0
20,42,0
20,44,0
20,46,0
20,48,0
21,22,0
21,24,0
21,26,0
21,28,0
21,30,0
21,32,0
21,34,0
21,36,0
21,38,0
21,40,0
21,42,0
21,44,0
21,46,0
21,48,0
22,24,0
22,26,0
22,28,0
22,30,0
22,32,0
22,34,0
22,36,0
22,38,0
22,40,0
22,42,0
22,44,0
22,46,0
22,48,0
23,24,0
23,26,0
23,28,0
23,30,0
23,32,0
23,34,0
23,36,0
23,38,0
23,40,0
23,42,0
23,44,0
23,46,0
23,48,0
24,26,0
24,28,0
24,30,0
24,32,0
24,34,0
24,36,0
24,38,0
24,40,0
24,42,0
24,44,0
24,46,0
24,48,0
25,26,0
25,28,0
25,30,0
25,32,0
25,34,0
25,36,0
25,38,0
25,40,0
25,42,0
25,44,0
25,46,0
25,48,0
26,28,0
26,30,0
26,32,0
26,34,0
26,36,0
26,38,0
26,40,0
26,42,0
26,44,0
26,46,0
26,48,0
27,28,0
27,30,0
27,32,0
27,34,0
27,36,0
27,38,0
27,40,0
27,42,0
27,44,0
27,46,0
27,48,0
28,30,0
28,32,0
28,34,0
28,36,0
28,38,0
28,40,0
28,42,0
28,44,0
28,46,0
28,48,0
29,30,0
29,32,0
29,34,0
29,36,0
29,38,0
29,40,0
29,42,0
29,44,0
29,46,0
29,48,0
