fast_period,slow_period,signal_period,performance
8,20,5,0
8,20,7,0
8,20,9,0
8,20,11,0
8,22,5,0
8,22,7,0
8,22,9,0
8,22,11,0
8,24,5,0
8,24,7,0
8,24,9,0
8,24,11,0
8,26,5,0
8,26,7,0
8,26,9,0
8,26,11,0
8,28,5,0
8,28,7,0
8,28,9,0
8,28,11,0
8,30,5,0
8,30,7,0
8,30,9,0
8,30,11,0
10,20,5,0
10,20,7,0
10,20,9,0
10,20,11,0
10,22,5,0
10,22,7,0
10,22,9,0
10,22,11,0
10,24,5,0
10,24,7,0
10,24,9,0
10,24,11,0
10,26,5,0
10,26,7,0
10,26,9,0
10,26,11,0
10,28,5,0
10,28,7,0
10,28,9,0
10,28,11,0
10,30,5,0
10,30,7,0
10,30,9,0
10,30,11,0
12,20,5,0
12,20,7,0
12,20,9,0
12,20,11,0
12,22,5,0
12,22,7,0
12,22,9,0
12,22,11,0
12,24,5,0
12,24,7,0
12,24,9,0
12,24,11,0
12,26,5,0
12,26,7,0
12,26,9,0
12,26,11,0
12,28,5,0
12,28,7,0
12,28,9,0
12,28,11,0
12,30,5,0
12,30,7,0
12,30,9,0
12,30,11,0
14,20,5,0
14,20,7,0
14,20,9,0
14,20,11,0
14,22,5,0
14,22,7,0
14,22,9,0
14,22,11,0
14,24,5,0
14,24,7,0
14,24,9,0
14,24,11,0
14,26,5,0
14,26,7,0
14,26,9,0
14,26,11,0
14,28,5,0
14,28,7,0
14,28,9,0
14,28,11,0
14,30,5,0
14,30,7,0
14,30,9,0
14,30,11,0
